K00002	alcohol dehydrogenase (NADP+)
K09069	twist
K09073	pancreas-specific transcription factor 1a
K09075	nescient helix-loop-helix protein
K09081	neurogenin 1
K09083	ATOH1_atonal protein 1/7
K09084	atonal protein 8
K09085	BHLHB1_6_class B basic helix-loop-helix protein 1/6/7
K09086	BHLHB4_class B basic helix-loop-helix protein 4/5
K09089	hairy and enhancer of split 4
K09090	hairy and enhancer of split, invertebrate
K09097	aryl hydrocarbon receptor nuclear translocator
K09099	aryl hydrocarbon receptor nuclear translocator-like protein 2
K09100	single-minded
K09103	early B-cell factor
K09105	transcription factor E3
K09108	transcription factor AP-4
K09113	MAX-like protein X
K09114	MAX dimerization protein
K09131	uncharacterized protein
K09140	rRNA small subunit aminocarboxypropyltransferase
K09142	methyltransferase
K09172	nuclear factor I, invertebrate
K09173	RFX1_2_regulatory factor X 1/2/3
K09176	TFAP2A_transcription factor AP-2 alpha/beta
K09180	transcription factor AP-2, invertebrate
K09184	GATA-binding protein, other eukaryote
K09185	nuclear receptor subfamily 6 group A
K09188	lysine4 N-trimethyltransferase MLL3
K09189	lysine4 N-trimethyltransferase MLL5
K09191	general transcription factor IIIA
K09195	transcription factor Sp5
K09197	transcription factor Sp7
K09200	SP-transcription factor Sp, invertebrate
K09203	early growth response protein 1
K09204	krueppel-like factor 1
K09206	krueppel-like factor 5
K09207	KLF6_krueppel-like factor 6/7
K09213	hunchback
K09214	glass
K09215	odd-skipped
K09216	ovo
K09219	scratch
K09223	growth factor independent 1
K09227	zinc finger protein ZIC, invertebrate
K09228	KRAB domain-containing zinc finger protein
K09239	human immunodeficiency virus type I enhancer-binding protein
K09250	cellular nucleic acid-binding protein
K09255	ankyrin-2
K09257	NF-kappa-B inhibitor-like protein 2
K09260	MADS-box transcription enhancer factor 2A
K09267	transcription factor SOX1/3/14/21 (SOX group B)
K09268	SOX11_transcription factor SOX11/12 (SOX group C)
K09269	SOX5_6_transcription factor SOX5/6/13 (SOX group D)
K09272	FACT complex subunit SSRP1/POB3
K09275	transcription factor CP2 and related proteins
K09276	Y-box-binding protein 1
K09291	nucleoprotein TPR
K09300	homeobox protein abdominal-B and related proteins
K09301	HOX_homeobox protein HoxA/B/D1
K09305	HOX_homeobox protein HoxA/B/C5
K09307	HOX_homeobox protein HoxA/B7
K09309	homeobox protein Nkx-1
K09312	CDX1_homeobox protein CDX1/4
K09313	homeobox protein cut-like
K09314	DLX1_4_homeobox protein DLX1/4/6
K09317	homeobox protein EMX
K09318	homeobox protein ventral anterior
K09319	homeobox protein engrailed
K09320	homeobox even-skipped homolog protein
K09324	homeobox protein goosecoid
K09326	homeobox protein OTX1
K09328	homeobox protein Unc-4
K09330	paired mesoderm homeobox protein 2
K09332	retina and anterior neural fold homeobox protein
K09335	visual system homeobox protein 1
K09336	visual system homeobox protein 2
K09337	cone-rod homeobox protein
K09341	homeobox protein MSX
K09342	NKX2-homeobox protein Nkx-2.1
K09349	homeobox protein Nkx-5
K09350	NKX6-homeobox protein Nkx-6.2
K09352	homeobox protein Nkx, invertebrate
K09354	homeobox protein expressed in ES cells 1
K09355	pre-B-cell leukemia transcription factor 1
K09356	paired-like homeodomain transcription factor 1
K09360	BarH-like
K09362	homeo domain only family, other
K09365	POU domain transcription factor, class 3
K09366	POU domain transcription factor, class 4
K09370	insulin gene enhancer protein ISL-1
K09371	LIM homeobox transcription factor 1
K09372	LIM homeobox protein 1
K09373	LHX2_LIM homeobox protein 2/9
K09374	LHX3_LIM homeobox protein 3/4
K09375	LHX6_LIM homeobox protein 6/8
K09377	cysteine and glycine-rich protein
K09378	zinc finger homeobox protein 3
K09381	PAX3_paired box protein 3/7
K09382	PAX1_paired box protein 1/9
K09383	paired box protein 5
K09385	forkhead box protein G
K09391	E2F7_transcription factor E2F7/8
K09392	transcription factor Dp-2
K09395	forkhead box protein B
K09397	forkhead box protein D
K09399	forkhead box protein F
K09402	forkhead box protein J1
K09404	forkhead box protein K
K09407	forkhead box protein N
K09408	forkhead box protein O3
K09409	FOXP2_forkhead box protein P2/4
K09414	heat shock transcription factor 1
K09428	ELF1_2_E74-like factor 1/2/4
K09430	ETS domain-containing protein Elk-3 (SRF accessory protein 2)
K09435	transcriptional regulator ERG
K09436	friend leukemia integration 1 transcription factor
K09437	ETS oncogene family protein FEV
K09442	SAM pointed domain-containing ETS transcription factor
K09448	transcriptional enhancer factor
K09452	homeobox protein aristaless-related
K09458	3-oxoacyl-[acyl-carrier-protein] synthase II
K09478	short-chain 2-methylacyl-CoA dehydrogenase
K09479	very long chain acyl-CoA dehydrogenase
K09481	protein transport protein SEC61 subunit beta
K09485	heat shock protein 110kDa
K09486	hypoxia up-regulated 1
K09487	heat shock protein 90kDa beta
K09488	TNF receptor-associated protein 1
K09489	heat shock 70kDa protein 4
K09490	endoplasmic reticulum chaperone BiP
K09491	heat shock 70kDa protein 13
K09493	T-complex protein 1 subunit alpha
K09494	T-complex protein 1 subunit beta
K09495	T-complex protein 1 subunit gamma
K09496	T-complex protein 1 subunit delta
K09497	T-complex protein 1 subunit epsilon
K09498	T-complex protein 1 subunit zeta
K09499	T-complex protein 1 subunit eta
K09500	T-complex protein 1 subunit theta
K09502	DnaJ homolog subfamily A member 1
K09503	DnaJ homolog subfamily A member 2
K09504	DnaJ homolog subfamily A member 3
K09506	DnaJ homolog subfamily A member 5
K09507	DnaJ homolog subfamily B member 1
K09510	DnaJ homolog subfamily B member 4
K09511	DnaJ homolog subfamily B member 5
K09512	DnaJ homolog subfamily B member 6
K09515	DnaJ homolog subfamily B member 9
K09516	all-trans-retinol 13,14-reductase
K09517	DnaJ homolog subfamily B member 11
K09518	DnaJ homolog subfamily B member 12
K09521	DnaJ homolog subfamily C member 1
K09522	DnaJ homolog subfamily C member 2
K09523	DnaJ homolog subfamily C member 3
K09524	DnaJ homolog subfamily C member 4
K09525	DnaJ homolog subfamily C member 5
K09528	DnaJ homolog subfamily C member 8
K09529	DnaJ homolog subfamily C member 9
K09530	DnaJ homolog subfamily C member 10
K09531	DnaJ homolog subfamily C member 11
K09532	DnaJ homolog subfamily C member 12
K09533	DnaJ homolog subfamily C member 13
K09534	DnaJ homolog subfamily C member 14
K09536	DnaJ homolog subfamily C member 16
K09537	DnaJ homolog subfamily C member 17
K09539	DnaJ homolog subfamily C member 19
K09540	translocation protein SEC63
K09541	crystallin, alpha A
K09542	crystallin, alpha B
K09548	prefoldin subunit 1
K09549	prefoldin subunit 2
K09550	prefoldin subunit 4
K09552	spastic paraplegia 7
K09553	stress-induced-phosphoprotein 1
K09554	cell division cycle protein 37
K09555	BCL2-associated athanogene 1
K09556	BCL2-associated athanogene 2
K09560	suppressor of tumorigenicity protein 13
K09561	STIP1 homology and U-box containing protein 1
K09562	hsp70-interacting protein
K09564	peptidyl-prolyl isomerase E (cyclophilin E)
K09565	peptidyl-prolyl isomerase F (cyclophilin D)
K09566	peptidyl-prolyl isomerase G (cyclophilin G)
K09567	peptidyl-prolyl isomerase H (cyclophilin H)
K09568	FK506-binding protein 1
K09569	FK506-binding protein 2
K09571	FKBP4_FK506-binding protein 4/5
K09574	FK506-binding protein 8
K09575	FKBP9_FK506-binding protein 9/10
K09578	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
K09579	peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
K09580	protein disulfide-isomerase A1
K09582	protein disulfide-isomerase A4
K09583	protein disulfide-isomerase A5
K09584	protein disulfide-isomerase A6
K09585	protein disulfide-isomerase
K09594	folliculin
K09595	minor histocompatibility antigen H13
K09597	signal peptide peptidase-like 2B
K09598	signal peptide peptidase-like 3
K09602	ubiquitin thioesterase protein OTUB1
K09611	probable aminopeptidase NPEPL1
K09613	COP9 signalosome complex subunit 5
K09637	transmembrane protease serine 6
K09646	serine carboxypeptidase 1
K09647	mitochondrial inner membrane protease subunit 1
K09648	mitochondrial inner membrane protease subunit 2
K09650	rhomboid-like protein
K09651	rhomboid-related protein 4
K09659	dolichol-phosphate mannosyltransferase subunit 3
K09660	mannose-P-dolichol utilization defect 1
K09662	N-acetylglucosaminyltransferase 3, mucin type
K09667	protein O-GlcNAc transferase
K09668	glycosyltransferase-like protein LARGE
K09680	PANK1_2_type II pantothenate kinase
K09699	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)
K09828	Delta24-sterol reductase
K09850	Ras association domain-containing protein 1
K09855	RASSF7_Ras association domain-containing protein 7/8
K09878	aquaporin-10
K09880	enolase-phosphatase E1
K09881	acylglycerol kinase
K09884	aquaporin rerated protein, invertebrate
K09886	aquaglyceroporin related protein, invertebrate
K10049	CCAAT/enhancer binding protein (C/EBP), gamma
K10080	lectin, mannose-binding 1
K10082	lectin, mannose-binding 2
K10084	ER degradation enhancer, mannosidase alpha-like 1
K10085	ER degradation enhancer, mannosidase alpha-like 2
K10086	ER degradation enhancer, mannosidase alpha-like 3
K10088	protein OS-9
K10091	galectin-4
K10092	galectin-7
K10093	galectin-9
K10100	F-box protein 6
K10105	lipoyltransferase 1
K10143	E3 ubiquitin-protein ligase RFWD2
K10147	protein phosphatase 1D
K10151	G1/S-specific cyclin-D2
K10152	G1/S-specific cyclin-D3
K10157	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2
K10158	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
K10162	BMP and activin membrane-bound inhibitor
K10174	T-box brain protein 1
K10175	T-box protein 1
K10176	T-box protein 2
K10185	T-box protein 20
K10186	T-box protein 22
K10203	elongation of very long chain fatty acids protein 6
K10223	cholesterol 25-hydroxylase
K10251	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase
K10257	acyl-lipid omega-3 desaturase
K10258	very-long-chain enoyl-CoA reductase
K10260	F-box and WD-40 domain protein 7
K10263	F-box and WD-40 domain protein 5
K10265	F-box and WD-40 domain protein 9
K10268	FBXL2_F-box and leucine-rich repeat protein 2/20
K10276	FBXL10_F-box and leucine-rich repeat protein 10/11
K10277	arginine 3-hydroxylase / protease
K10280	F-box and leucine-rich repeat protein 14
K10293	F-box protein 7
K10295	F-box protein 9
K10297	F-box protein 11
K10299	F-box protein 16
K10305	FBXO25_F-box protein 25/32
K10306	F-box protein 28
K10307	F-box protein 30
K10314	F-box protein 39
K10317	F-box protein 42
K10319	F-box protein 45
K10321	F-box protein 47
K10325	ankyrin repeat and SOCS box protein 3
K10341	WD repeat and SOCS box-containing protein 1
K10343	SPSB1_SPRY domain-containing SOCS box protein 1/4
K10345	SPRY domain-containing SOCS box protein 3
K10348	LRR-repeat protein 1
K10350	Zyg-11 protein
K10352	myosin heavy chain 9/10/11/14
K10355	actin, other eukaryote
K10356	myosin I
K10357	myosin V
K10358	myosin VI
K10359	myosin VIIa
K10360	myosin IX
K10362	myosin XVIII
K10364	F-actin-capping protein subunit alpha
K10365	F-actin-capping protein subunit beta
K10369	supervillin
K10370	tropomodulin
K10371	troponin I, slow skeletal muscle
K10373	tropomyosin 1
K10375	tropomyosin 4
K10382	dystonin
K10389	tubulin gamma
K10392	kinesin family member 1
K10393	KIF2_kinesin family member 2/24
K10394	kinesin family member 3A
K10396	kinesin family member 5 (plus-end-directed kinesin ATPase)
K10398	kinesin family member 11
K10400	kinesin family member 15
K10401	kinesin family member 18A
K10404	kinesin family member 26
K10405	kinesin family member C1 (minus-end-directed kinesin ATPase)
K10406	KIFC2_kinesin family member C2/C3
K10407	kinesin light chain
K10410	dynein axonemal light intermediate chain 1
K10413	dynein cytoplasmic 1 heavy chain
K10414	dynein cytoplasmic 2 heavy chain
K10415	dynein cytoplasmic 1 intermediate chain
K10416	dynein cytoplasmic 1 light intermediate chain
K10417	dynein cytoplasmic 2 light intermediate chain
K10418	dynein light chain LC8-type
K10419	dynein light chain roadblock-type
K10420	DYNLT1_dynein light chain Tctex-type 1/3
K10421	CAP-Gly domain-containing linker protein 1
K10424	dynactin 2
K10426	dynactin 4
K10427	dynactin 5
K10428	dynactin 6
K10431	microtubule-associated protein 4
K10434	microtubule-associated protein 9
K10435	microtubule-associated protein 1 light chain
K10436	microtubule-associated protein, RP/EB family
K10442	KLHL1_4_kelch-like protein 1/4/5
K10443	KLHL2_kelch-like protein 2/3
K10446	kelch-like protein 8
K10448	kelch-like protein 10
K10455	kelch-like protein 18
K10457	kelch-like protein 20
K10477	BTBD1_BTB/POZ domain-containing protein 1/2
K10478	BTBD3_BTB/POZ domain-containing protein 3/6
K10479	BTB/POZ domain-containing protein 7
K10481	BTB/POZ domain-containing protein 9
K10482	BTB/POZ domain-containing protein 10
K10485	BTB/POZ domain-containing protein 13 (germ cell-less protein-like 1)
K10500	zinc finger and BTB domain-containing protein 17
K10523	speckle-type POZ protein
K10524	NRK1_nicotinamide/nicotinate riboside kinase
K10570	DNA excision repair protein ERCC-8
K10571	de-etiolated-1
K10572	inositol-pentakisphosphate 2-kinase
K10573	ubiquitin-conjugating enzyme E2 A
K10575	ubiquitin-conjugating enzyme E2 G1
K10576	ubiquitin-conjugating enzyme E2 H
K10577	ubiquitin-conjugating enzyme E2 I
K10578	ubiquitin-conjugating enzyme E2 J1
K10580	ubiquitin-conjugating enzyme E2 N
K10581	ubiquitin-conjugating enzyme E2 O
K10582	ubiquitin-conjugating enzyme E2 Q
K10588	ubiquitin-protein ligase E3 B
K10589	ubiquitin-protein ligase E3 C
K10590	E3 ubiquitin-protein ligase TRIP12
K10591	E3 ubiquitin-protein ligase NEDD4
K10592	E3 ubiquitin-protein ligase HUWE1
K10593	E3 ubiquitin-protein ligase EDD1
K10597	ubiquitin conjugation factor E4 B
K10598	peptidyl-prolyl cis-trans isomerase-like 2
K10599	pre-mRNA-processing factor 19
K10601	E3 ubiquitin-protein ligase synoviolin
K10609	cullin 4
K10610	DNA damage-binding protein 1
K10611	RING-box protein 2
K10612	cullin 5
K10615	E3 ubiquitin-protein ligase HERC4
K10625	E3 ubiquitin-protein ligase UBR1
K10626	E3 ubiquitin-protein ligase UBR2
K10631	E3 ubiquitin-protein ligase Topors
K10632	BRCA1-associated protein
K10635	E3 ubiquitin-protein ligase Arkadia
K10636	E3 ubiquitin-protein ligase AMFR
K10639	E3 ubiquitin-protein ligase CCNP1IP1
K10640	E3 ubiquitin-protein ligase RNF25
K10643	CCR4-NOT transcription complex subunit 4
K10645	E3 ubiquitin-protein ligase mind-bomb
K10649	TRIM9_tripartite motif-containing protein 9/67
K10656	MARCH1_E3 ubiquitin-protein ligase MARCH1/8
K10657	MARCH2_E3 ubiquitin-protein ligase MARCH2/3
K10660	E3 ubiquitin-protein ligase MARCH5
K10661	E3 ubiquitin-protein ligase MARCH6
K10666	RNF5_E3 ubiquitin-protein ligase RNF5/185
K10683	BRCA1-associated RING domain protein 1
K10684	ubiquitin-like 1-activating enzyme E1 A
K10685	ubiquitin-like 1-activating enzyme E1 B
K10686	NEDD8-activating enzyme E1
K10687	ubiquitin-conjugating enzyme E2 F
K10688	ubiquitin-conjugating enzyme E2 W
K10691	E3 ubiquitin-protein ligase UBR4
K10693	RCR-type E3 ubiquitin transferase
K10694	ZNRF1_E3 ubiquitin-protein ligase ZNRF1/2
K10695	RNF1_E3 ubiquitin-protein ligase RNF1/2
K10696	E3 ubiquitin-protein ligase BRE1
K10703	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase
K10704	ubiquitin-conjugating enzyme E2 variant
K10707	vesicle-associated membrane protein-associated protein B
K10712	cysteamine dioxygenase
K10727	chromatin licensing and DNA replication factor 1
K10728	topoisomerase (DNA) II binding protein 1
K10732	GINS complex subunit 1
K10733	GINS complex subunit 2
K10734	GINS complex subunit 3
K10735	GINS complex subunit 4
K10736	minichromosome maintenance protein 10
K10737	DNA helicase MCM8
K10738	DNA helicase MCM9
K10739	replication factor A2
K10742	DNA replication ATP-dependent helicase/nuclease Dna2
K10743	ribonuclease H2 subunit A
K10744	ribonuclease H2 subunit B
K10745	ribonuclease H2 subunit C
K10746	exonuclease 1
K10747	DNA ligase 1
K10749	geminin
K10750	chromatin assembly factor 1 subunit A
K10751	chromatin assembly factor 1 subunit B
